No.;Time;Comment;Scramble;Date;P.1
294;7.38;;U R' L' R' B U' B' L l' r' b u';2023-07-29 17:28:44;7.38
295;6.73;;R' U' B U' B R U R' l u;2023-07-29 17:29:07;6.73
296;7.80;;U' B R' L B' U' R U' B' l b u';2023-07-29 17:29:43;7.80
297;7.23;;L U' L' B' U R' U B U' r b' u;2023-07-29 17:30:08;7.23
298;5.34;;B' L B' L U' L U L' r' b u';2023-07-29 17:30:37;5.34
299;8.35;;L' B U L' R' U' B U' B l r u;2023-07-29 17:30:57;8.35
300;4.42;;U B' L R' B L' R' B' R';2023-07-29 17:32:08;4.42
301;10.28;;B U B' U' B R L U r b' u;2023-07-29 17:32:32;10.28
302;5.37;;B U R' B U' B' L U' l r' b' u;2023-07-29 17:32:57;5.37
303;5.09;;U L' B' R' L B R L b' u';2023-07-29 17:33:19;5.09
304;5.23;;B L' R U R B' R L' l';2023-07-29 17:33:37;5.23
305;3.36;;R U R' B U' R' B' L' l r b';2023-07-29 17:33:58;3.36
306;6.76;;U' L B' U' R U' R' L' B' l' r' b;2023-07-29 17:34:15;6.76
307;DNF(7.00);;U' R' U R' L B U B' l' r' b;2023-07-29 17:34:39;7.00
308;7.27;;U L' U' R B L' B' U l b' u';2023-07-29 17:35:04;7.27
309;11.47;;R' L' R B' U L R' L l r' u;2023-07-29 17:35:27;11.47
310;6.68;;R U R B' L' B' R B l' r u';2023-07-29 17:35:52;6.68
311;5.08;;R' L B L' R B L' R B r b';2023-07-29 17:36:12;5.08
312;6.11;;B L U' R' L U L U' l r b;2023-07-29 17:36:30;6.11
313;5.27;;L' U' B U' L B L B' l r' b';2023-07-29 17:36:54;5.27
314;4.77;;B' R' L B' U' R L B' l' u';2023-07-29 17:37:17;4.77
315;3.92;;L B' U L' R U L' B r';2023-07-29 17:37:39;3.92
316;6.13;;R' U' L U' R' U' L U' R' l' r' b u';2023-07-29 17:37:56;6.13
317;6.99;;L' R' B' R U' R L' R l' r b' u';2023-07-29 17:38:27;6.99
318;5.84;;B U' L U R' L' U' R' l' r' b';2023-07-29 17:38:47;5.84
319;6.85;;B' L U' B U' L R B' l' r u;2023-07-29 17:39:12;6.85
320;4.88;;L B' R L B L R' B' l;2023-07-29 17:39:56;4.88
321;5.55;;R' L B L' B U R' U' l' r' b' u;2023-07-29 17:40:19;5.55
322;8.06;;B' U R B' L' R' U' R' l';2023-07-29 17:40:38;8.06
323;3.30;;B' L U L' B L U' B r;2023-07-29 17:40:59;3.30
324;5.77;;U' B' R L R B R B l r' u;2023-07-29 17:41:17;5.77
325;5.50;;L U' R' U L U' R' L r' u;2023-07-29 17:41:40;5.50
326;7.08;;L' U' B' U B' U' B R' l' b' u';2023-07-29 17:41:57;7.08
327;8.75;;R' U' B' R' U' B' R L' r;2023-07-29 17:42:15;8.75
328;8.16;;L U B' L R' B' U' R l r' b u';2023-07-29 17:42:38;8.16
329;8.66;;R' U' B' R B' L' B' U R r' b' u';2023-07-29 17:43:07;8.66
330;5.46;;R' L' R' U R' U' B U b u';2023-07-29 17:43:28;5.46
331;7.41;;R B U' R' L B' R L' l r b' u;2023-07-29 17:43:47;7.41
332;7.69;;U R' U' R' L' B' R' L r;2023-07-29 17:44:08;7.69
333;6.96;;R U' B U' R' B U B' l u';2023-07-29 17:44:28;6.96
334;4.29;;L B R' L B' U' B L l r;2023-07-29 17:44:49;4.29
335;6.42;;L' U R L' U' R' B U R b;2023-07-29 17:45:17;6.42
